"id"	"english"	"translation"	"status"	"notes"	"source_file"	"line"	"object"	"property"
"object.BOARD.DESC"	"board"	"board"	"source"	"原文表示"	"1dungeon.zil"	"16"	"BOARD"	"DESC"
"object.TEETH.DESC"	"set of teeth"	"set of teeth"	"source"	"原文表示"	"1dungeon.zil"	"23"	"TEETH"	"DESC"
"object.WALL.DESC"	"surrounding wall"	"surrounding wall"	"source"	"原文表示"	"1dungeon.zil"	"31"	"WALL"	"DESC"
"object.GRANITE-WALL.DESC"	"granite wall"	"granite wall"	"source"	"原文表示"	"1dungeon.zil"	"37"	"GRANITE-WALL"	"DESC"
"object.SONGBIRD.DESC"	"songbird"	"songbird"	"source"	"原文表示"	"1dungeon.zil"	"44"	"SONGBIRD"	"DESC"
"object.WHITE-HOUSE.DESC"	"white house"	"white house"	"source"	"原文表示"	"1dungeon.zil"	"52"	"WHITE-HOUSE"	"DESC"
"object.FOREST.DESC"	"forest"	"forest"	"source"	"原文表示"	"1dungeon.zil"	"59"	"FOREST"	"DESC"
"object.TREE.DESC"	"tree"	"tree"	"source"	"原文表示"	"1dungeon.zil"	"67"	"TREE"	"DESC"
"object.MOUNTAIN-RANGE.DESC"	"mountain range"	"mountain range"	"source"	"原文表示"	"1dungeon.zil"	"72"	"MOUNTAIN-RANGE"	"DESC"
"object.GLOBAL-WATER.DESC"	"water"	"water"	"source"	"原文表示"	"1dungeon.zil"	"81"	"GLOBAL-WATER"	"DESC"
"object.WATER.DESC"	"quantity of water"	"quantity of water"	"source"	"原文表示"	"1dungeon.zil"	"88"	"WATER"	"DESC"
"object.KITCHEN-WINDOW.DESC"	"kitchen window"	"kitchen window"	"source"	"原文表示"	"1dungeon.zil"	"97"	"KITCHEN-WINDOW"	"DESC"
"object.CHIMNEY.DESC"	"chimney"	"chimney"	"source"	"原文表示"	"1dungeon.zil"	"105"	"CHIMNEY"	"DESC"
"object.GHOSTS.DESC"	"number of ghosts"	"number of ghosts"	"source"	"原文表示"	"1dungeon.zil"	"113"	"GHOSTS"	"DESC"
"object.SKULL.DESC"	"crystal skull"	"crystal skull"	"source"	"原文表示"	"1dungeon.zil"	"121"	"SKULL"	"DESC"
"object.SKULL.FDESC"	"Lying in one corner of the room is a beautifully carved crystal skull.\nIt appears to be grinning at you rather nastily."	"Lying in one corner of the room is a beautifully carved crystal skull.\nIt appears to be grinning at you rather nastily."	"source"	"原文表示"	"1dungeon.zil"	"123"	"SKULL"	"FDESC"
"object.LOWERED-BASKET.LDESC"	"From the chain is suspended a basket."	"From the chain is suspended a basket."	"source"	"原文表示"	"1dungeon.zil"	"133"	"LOWERED-BASKET"	"LDESC"
"object.LOWERED-BASKET.DESC"	"basket"	"basket"	"source"	"原文表示"	"1dungeon.zil"	"134"	"LOWERED-BASKET"	"DESC"
"object.RAISED-BASKET.DESC"	"basket"	"basket"	"source"	"原文表示"	"1dungeon.zil"	"141"	"RAISED-BASKET"	"DESC"
"object.RAISED-BASKET.LDESC"	"At the end of the chain is a basket."	"At the end of the chain is a basket."	"source"	"原文表示"	"1dungeon.zil"	"144"	"RAISED-BASKET"	"LDESC"
"object.LUNCH.DESC"	"lunch"	"lunch"	"source"	"原文表示"	"1dungeon.zil"	"151"	"LUNCH"	"DESC"
"object.LUNCH.LDESC"	"A hot pepper sandwich is here."	"A hot pepper sandwich is here."	"source"	"原文表示"	"1dungeon.zil"	"153"	"LUNCH"	"LDESC"
"object.BAT.DESC"	"bat"	"bat"	"source"	"原文表示"	"1dungeon.zil"	"159"	"BAT"	"DESC"
"object.BELL.DESC"	"brass bell"	"brass bell"	"source"	"原文表示"	"1dungeon.zil"	"168"	"BELL"	"DESC"
"object.HOT-BELL.DESC"	"red hot brass bell"	"red hot brass bell"	"source"	"原文表示"	"1dungeon.zil"	"175"	"HOT-BELL"	"DESC"
"object.HOT-BELL.LDESC"	"On the ground is a red hot bell."	"On the ground is a red hot bell."	"source"	"原文表示"	"1dungeon.zil"	"178"	"HOT-BELL"	"LDESC"
