id	source_file	line	object	property	english
"object.BOARD.DESC"	"1dungeon.zil"	"16"	"BOARD"	"DESC"	"board"
"object.TEETH.DESC"	"1dungeon.zil"	"23"	"TEETH"	"DESC"	"set of teeth"
"object.WALL.DESC"	"1dungeon.zil"	"31"	"WALL"	"DESC"	"surrounding wall"
"object.GRANITE-WALL.DESC"	"1dungeon.zil"	"37"	"GRANITE-WALL"	"DESC"	"granite wall"
"object.SONGBIRD.DESC"	"1dungeon.zil"	"44"	"SONGBIRD"	"DESC"	"songbird"
"object.WHITE-HOUSE.DESC"	"1dungeon.zil"	"52"	"WHITE-HOUSE"	"DESC"	"white house"
"object.FOREST.DESC"	"1dungeon.zil"	"59"	"FOREST"	"DESC"	"forest"
"object.TREE.DESC"	"1dungeon.zil"	"67"	"TREE"	"DESC"	"tree"
"object.MOUNTAIN-RANGE.DESC"	"1dungeon.zil"	"72"	"MOUNTAIN-RANGE"	"DESC"	"mountain range"
"object.GLOBAL-WATER.DESC"	"1dungeon.zil"	"81"	"GLOBAL-WATER"	"DESC"	"water"
"object.WATER.DESC"	"1dungeon.zil"	"88"	"WATER"	"DESC"	"quantity of water"
"object.KITCHEN-WINDOW.DESC"	"1dungeon.zil"	"97"	"KITCHEN-WINDOW"	"DESC"	"kitchen window"
"object.CHIMNEY.DESC"	"1dungeon.zil"	"105"	"CHIMNEY"	"DESC"	"chimney"
"object.GHOSTS.DESC"	"1dungeon.zil"	"113"	"GHOSTS"	"DESC"	"number of ghosts"
"object.SKULL.DESC"	"1dungeon.zil"	"121"	"SKULL"	"DESC"	"crystal skull"
"object.SKULL.FDESC"	"1dungeon.zil"	"123"	"SKULL"	"FDESC"	"Lying in one corner of the room is a beautifully carved crystal skull.\nIt appears to be grinning at you rather nastily."
"object.LOWERED-BASKET.LDESC"	"1dungeon.zil"	"133"	"LOWERED-BASKET"	"LDESC"	"From the chain is suspended a basket."
"object.LOWERED-BASKET.DESC"	"1dungeon.zil"	"134"	"LOWERED-BASKET"	"DESC"	"basket"
"object.RAISED-BASKET.DESC"	"1dungeon.zil"	"141"	"RAISED-BASKET"	"DESC"	"basket"
"object.RAISED-BASKET.LDESC"	"1dungeon.zil"	"144"	"RAISED-BASKET"	"LDESC"	"At the end of the chain is a basket."
"object.LUNCH.DESC"	"1dungeon.zil"	"151"	"LUNCH"	"DESC"	"lunch"
"object.LUNCH.LDESC"	"1dungeon.zil"	"153"	"LUNCH"	"LDESC"	"A hot pepper sandwich is here."
"object.BAT.DESC"	"1dungeon.zil"	"159"	"BAT"	"DESC"	"bat"
"object.BELL.DESC"	"1dungeon.zil"	"168"	"BELL"	"DESC"	"brass bell"
"object.HOT-BELL.DESC"	"1dungeon.zil"	"175"	"HOT-BELL"	"DESC"	"red hot brass bell"
"object.HOT-BELL.LDESC"	"1dungeon.zil"	"178"	"HOT-BELL"	"LDESC"	"On the ground is a red hot bell."
"object.AXE.DESC"	"1dungeon.zil"	"184"	"AXE"	"DESC"	"bloody axe"
"object.BOLT.DESC"	"1dungeon.zil"	"193"	"BOLT"	"DESC"	"bolt"
"object.BUBBLE.DESC"	"1dungeon.zil"	"201"	"BUBBLE"	"DESC"	"green bubble"
"object.ALTAR.DESC"	"1dungeon.zil"	"208"	"ALTAR"	"DESC"	"altar"
"object.BOOK.DESC"	"1dungeon.zil"	"216"	"BOOK"	"DESC"	"black book"
"object.BOOK.FDESC"	"1dungeon.zil"	"219"	"BOOK"	"FDESC"	"On the altar is a large black book, open to page 569."
"object.BOOK.TEXT"	"1dungeon.zil"	"222"	"BOOK"	"TEXT"	"Commandment #12592|\n|\nOh ye who go about saying unto each:  ""Hello sailor"":|\nDost thou know the magnitude of thy sin before the gods?|\nYea, verily, thou shalt be ground between two stones.|\nShall the angry gods cast thy body into the whirlpool?|\nSurely, thy eye shall be put out with a sharp stick!|\nEven unto the ends of the earth shalt thou wander and|\nUnto the land of the dead shalt thou be sent at last.|\nSurely thou shalt repent of thy cunning."
"object.BROKEN-LAMP.DESC"	"1dungeon.zil"	"236"	"BROKEN-LAMP"	"DESC"	"broken lantern"
"object.SCEPTRE.DESC"	"1dungeon.zil"	"243"	"SCEPTRE"	"DESC"	"sceptre"
"object.SCEPTRE.LDESC"	"1dungeon.zil"	"247"	"SCEPTRE"	"LDESC"	"An ornamented sceptre, tapering to a sharp point, is here."
"object.SCEPTRE.FDESC"	"1dungeon.zil"	"249"	"SCEPTRE"	"FDESC"	"A sceptre, possibly that of ancient Egypt itself, is in the coffin. The\nsceptre is ornamented with colored enamel, and tapers to a sharp point."
"object.TIMBERS.DESC"	"1dungeon.zil"	"259"	"TIMBERS"	"DESC"	"broken timber"
"object.SLIDE.DESC"	"1dungeon.zil"	"267"	"SLIDE"	"DESC"	"chute"
"object.KITCHEN-TABLE.DESC"	"1dungeon.zil"	"275"	"KITCHEN-TABLE"	"DESC"	"kitchen table"
"object.ATTIC-TABLE.DESC"	"1dungeon.zil"	"282"	"ATTIC-TABLE"	"DESC"	"table"
"object.SANDWICH-BAG.DESC"	"1dungeon.zil"	"290"	"SANDWICH-BAG"	"DESC"	"brown sack"
"object.SANDWICH-BAG.FDESC"	"1dungeon.zil"	"293"	"SANDWICH-BAG"	"FDESC"	"On the table is an elongated brown sack, smelling of hot peppers."
"object.TOOL-CHEST.DESC"	"1dungeon.zil"	"302"	"TOOL-CHEST"	"DESC"	"group of tool chests"
"object.YELLOW-BUTTON.DESC"	"1dungeon.zil"	"310"	"YELLOW-BUTTON"	"DESC"	"yellow button"
"object.BROWN-BUTTON.DESC"	"1dungeon.zil"	"318"	"BROWN-BUTTON"	"DESC"	"brown button"
"object.RED-BUTTON.DESC"	"1dungeon.zil"	"326"	"RED-BUTTON"	"DESC"	"red button"
"object.BLUE-BUTTON.DESC"	"1dungeon.zil"	"334"	"BLUE-BUTTON"	"DESC"	"blue button"
"object.TROPHY-CASE.DESC"	"1dungeon.zil"	"342"	"TROPHY-CASE"	"DESC"	"trophy case"
"object.RUG.DESC"	"1dungeon.zil"	"351"	"RUG"	"DESC"	"carpet"
"object.CHALICE.DESC"	"1dungeon.zil"	"359"	"CHALICE"	"DESC"	"chalice"
"object.CHALICE.LDESC"	"1dungeon.zil"	"362"	"CHALICE"	"LDESC"	"There is a silver chalice, intricately engraved, here."
"object.GARLIC.DESC"	"1dungeon.zil"	"371"	"GARLIC"	"DESC"	"clove of garlic"
"object.TRIDENT.DESC"	"1dungeon.zil"	"380"	"TRIDENT"	"DESC"	"crystal trident"
"object.TRIDENT.FDESC"	"1dungeon.zil"	"382"	"TRIDENT"	"FDESC"	"On the shore lies Poseidon's own crystal trident."
"object.CYCLOPS.DESC"	"1dungeon.zil"	"391"	"CYCLOPS"	"DESC"	"cyclops"
"object.DAM.DESC"	"1dungeon.zil"	"399"	"DAM"	"DESC"	"dam"
"object.TRAP-DOOR.DESC"	"1dungeon.zil"	"407"	"TRAP-DOOR"	"DESC"	"trap door"
"object.BOARDED-WINDOW.DESC"	"1dungeon.zil"	"415"	"BOARDED-WINDOW"	"DESC"	"boarded window"
"object.FRONT-DOOR.DESC"	"1dungeon.zil"	"423"	"FRONT-DOOR"	"DESC"	"door"
"object.BARROW-DOOR.DESC"	"1dungeon.zil"	"431"	"BARROW-DOOR"	"DESC"	"stone door"
"object.BARROW.DESC"	"1dungeon.zil"	"439"	"BARROW"	"DESC"	"stone barrow"
"object.BOTTLE.DESC"	"1dungeon.zil"	"447"	"BOTTLE"	"DESC"	"glass bottle"
