source_file	line	top_kind	top_name	angle_parent	angle_path	paren_parent	english
"1actions.zil"	"1"	""	""	""	""	""	"1ACTIONS for\n\t        Zork I: The Great Underground Empire\n\t(c) Copyright 1983 Infocom, Inc. All Rights Reserved."
"1actions.zil"	"5"	""	""	""	""	""	"SUBTITLE THE WHITE HOUSE"
"1actions.zil"	"10"	"ROUTINE"	"WEST-HOUSE"	"TELL"	"ROUTINE/COND/TELL"	"<EQUAL?"	"You are standing in an open field west of a white house, with a boarded\nfront door."
"1actions.zil"	"14"	"ROUTINE"	"WEST-HOUSE"	"TELL"	"ROUTINE/COND/COND/TELL"	",WON-FLAG"	" A secret path leads southwest into the forest."
"1actions.zil"	"20"	"ROUTINE"	"EAST-HOUSE"	"TELL"	"ROUTINE/COND/TELL"	"<EQUAL?"	"You are behind the white house. A path leads into the forest\nto the east. In one corner of the house there is a small window\nwhich is "
"1actions.zil"	"24"	"ROUTINE"	"EAST-HOUSE"	"TELL"	"ROUTINE/COND/COND/TELL"	"<FSET?"	"open."
"1actions.zil"	"25"	"ROUTINE"	"EAST-HOUSE"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"slightly ajar."
"1actions.zil"	"46"	"ROUTINE"	"BOARD-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The boards are securely fastened."
"1actions.zil"	"54"	"ROUTINE"	"TEETH-F"	"JIGS-UP"	"ROUTINE/COND/COND/JIGS-UP"	"<AND"	"Well, you seem to have been brushing your teeth with some sort of\nglue. As a result, your mouth gets glued together (with your nose)\nand you die of respiratory failure."
"1actions.zil"	"59"	"ROUTINE"	"TEETH-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<NOT"	"Dental hygiene is highly recommended, but I'm not sure what you want\nto brush them with."
"1actions.zil"	"62"	"ROUTINE"	"TEETH-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"A nice idea, but with a "
"1actions.zil"	"62"	"ROUTINE"	"TEETH-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"?"
"1actions.zil"	"67"	"ROUTINE"	"GRANITE-WALL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"The west wall is solid granite here."
"1actions.zil"	"69"	"ROUTINE"	"GRANITE-WALL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"It's solid granite."
"1actions.zil"	"72"	"ROUTINE"	"GRANITE-WALL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"The east wall is solid granite here."
"1actions.zil"	"74"	"ROUTINE"	"GRANITE-WALL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"It's solid granite."
"1actions.zil"	"77"	"ROUTINE"	"GRANITE-WALL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"It only SAYS ""Granite Wall""."
"1actions.zil"	"78"	"ROUTINE"	"GRANITE-WALL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The wall isn't granite."
"1actions.zil"	"80"	"ROUTINE"	"GRANITE-WALL-F"	"TELL"	"ROUTINE/COND/TELL"	"T"	"There is no granite wall here."
"1actions.zil"	"84"	"ROUTINE"	"SONGBIRD-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The songbird is not here but is probably nearby."
"1actions.zil"	"86"	"ROUTINE"	"SONGBIRD-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"You can't hear the songbird now."
"1actions.zil"	"88"	"ROUTINE"	"SONGBIRD-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"It can't be followed."
"1actions.zil"	"90"	"ROUTINE"	"SONGBIRD-F"	"TELL"	"ROUTINE/COND/TELL"	"T"	"You can't see any songbird here."
