id	source_file	line	routine	container	english
"message.1actions.WEST-HOUSE.10.01"	"1actions.zil"	"10"	"WEST-HOUSE"	"TELL"	"You are standing in an open field west of a white house, with a boarded\nfront door."
"message.1actions.WEST-HOUSE.14.01"	"1actions.zil"	"14"	"WEST-HOUSE"	"TELL"	" A secret path leads southwest into the forest."
"message.1actions.EAST-HOUSE.20.01"	"1actions.zil"	"20"	"EAST-HOUSE"	"TELL"	"You are behind the white house. A path leads into the forest\nto the east. In one corner of the house there is a small window\nwhich is "
"message.1actions.EAST-HOUSE.24.01"	"1actions.zil"	"24"	"EAST-HOUSE"	"TELL"	"open."
"message.1actions.EAST-HOUSE.25.01"	"1actions.zil"	"25"	"EAST-HOUSE"	"TELL"	"slightly ajar."
"message.1actions.BOARD-F.46.01"	"1actions.zil"	"46"	"BOARD-F"	"TELL"	"The boards are securely fastened."
"message.1actions.TEETH-F.54.01"	"1actions.zil"	"54"	"TEETH-F"	"JIGS-UP"	"Well, you seem to have been brushing your teeth with some sort of\nglue. As a result, your mouth gets glued together (with your nose)\nand you die of respiratory failure."
"message.1actions.TEETH-F.59.01"	"1actions.zil"	"59"	"TEETH-F"	"TELL"	"Dental hygiene is highly recommended, but I'm not sure what you want\nto brush them with."
"message.1actions.TEETH-F.62.01"	"1actions.zil"	"62"	"TEETH-F"	"TELL"	"A nice idea, but with a "
"message.1actions.TEETH-F.62.02"	"1actions.zil"	"62"	"TEETH-F"	"TELL"	"?"
"message.1actions.GRANITE-WALL-F.67.01"	"1actions.zil"	"67"	"GRANITE-WALL-F"	"TELL"	"The west wall is solid granite here."
"message.1actions.GRANITE-WALL-F.69.01"	"1actions.zil"	"69"	"GRANITE-WALL-F"	"TELL"	"It's solid granite."
"message.1actions.GRANITE-WALL-F.72.01"	"1actions.zil"	"72"	"GRANITE-WALL-F"	"TELL"	"The east wall is solid granite here."
"message.1actions.GRANITE-WALL-F.74.01"	"1actions.zil"	"74"	"GRANITE-WALL-F"	"TELL"	"It's solid granite."
"message.1actions.GRANITE-WALL-F.77.01"	"1actions.zil"	"77"	"GRANITE-WALL-F"	"TELL"	"It only SAYS ""Granite Wall""."
"message.1actions.GRANITE-WALL-F.78.01"	"1actions.zil"	"78"	"GRANITE-WALL-F"	"TELL"	"The wall isn't granite."
"message.1actions.GRANITE-WALL-F.80.01"	"1actions.zil"	"80"	"GRANITE-WALL-F"	"TELL"	"There is no granite wall here."
"message.1actions.SONGBIRD-F.84.01"	"1actions.zil"	"84"	"SONGBIRD-F"	"TELL"	"The songbird is not here but is probably nearby."
"message.1actions.SONGBIRD-F.86.01"	"1actions.zil"	"86"	"SONGBIRD-F"	"TELL"	"You can't hear the songbird now."
"message.1actions.SONGBIRD-F.88.01"	"1actions.zil"	"88"	"SONGBIRD-F"	"TELL"	"It can't be followed."
"message.1actions.SONGBIRD-F.90.01"	"1actions.zil"	"90"	"SONGBIRD-F"	"TELL"	"You can't see any songbird here."
"message.1actions.WHITE-HOUSE-F.95.01"	"1actions.zil"	"95"	"WHITE-HOUSE-F"	"TELL"	"Why not find your brains?"
"message.1actions.WHITE-HOUSE-F.103.01"	"1actions.zil"	"103"	"WHITE-HOUSE-F"	"TELL"	"It seems to be to the west."
"message.1actions.WHITE-HOUSE-F.105.01"	"1actions.zil"	"105"	"WHITE-HOUSE-F"	"TELL"	"It was here just a minute ago...."
"message.1actions.WHITE-HOUSE-F.106.01"	"1actions.zil"	"106"	"WHITE-HOUSE-F"	"TELL"	"You're not at the house."
"message.1actions.WHITE-HOUSE-F.109.01"	"1actions.zil"	"109"	"WHITE-HOUSE-F"	"TELL"	"It's right here! Are you blind or something?"
"message.1actions.WHITE-HOUSE-F.115.01"	"1actions.zil"	"115"	"WHITE-HOUSE-F"	"TELL"	"The house is a beautiful colonial house which is painted white.\nIt is clear that the owners must have been extremely wealthy."
"message.1actions.WHITE-HOUSE-F.122.01"	"1actions.zil"	"122"	"WHITE-HOUSE-F"	"TELL"	"The window is closed."
"message.1actions.WHITE-HOUSE-F.125.01"	"1actions.zil"	"125"	"WHITE-HOUSE-F"	"TELL"	"I can't see how to get in from here."
"message.1actions.WHITE-HOUSE-F.127.01"	"1actions.zil"	"127"	"WHITE-HOUSE-F"	"TELL"	"You must be joking."
"message.1actions.FOREST-F.142.01"	"1actions.zil"	"142"	"FOREST-F"	"TELL"	"You aren't even in the forest."
"message.1actions.FOREST-F.145.01"	"1actions.zil"	"145"	"FOREST-F"	"TELL"	"You will have to specify a direction."
"message.1actions.FOREST-F.147.01"	"1actions.zil"	"147"	"FOREST-F"	"TELL"	"You cannot see the forest for the trees."
"message.1actions.FOREST-F.149.01"	"1actions.zil"	"149"	"FOREST-F"	"TELL"	"The pines and the hemlocks seem to be murmuring."
"message.1actions.MOUNTAIN-RANGE-F.154.01"	"1actions.zil"	"154"	"MOUNTAIN-RANGE-F"	"TELL"	"Don't you believe me? The mountains are impassable!"
"message.1actions.WATER-F.187.01"	"1actions.zil"	"187"	"WATER-F"	"TELL"	"There is now a puddle in the bottom of the "
"message.1actions.WATER-F.188.01"	"1actions.zil"	"188"	"WATER-F"	"TELL"	"."
"message.1actions.WATER-F.192.01"	"1actions.zil"	"192"	"WATER-F"	"TELL"	"The water leaks out of the "
"message.1actions.WATER-F.193.01"	"1actions.zil"	"193"	"WATER-F"	"TELL"	" and evaporates immediately."
"message.1actions.WATER-F.197.01"	"1actions.zil"	"197"	"WATER-F"	"TELL"	"The bottle is closed."
"message.1actions.WATER-F.201.01"	"1actions.zil"	"201"	"WATER-F"	"TELL"	"The bottle is now full of water."
"message.1actions.WATER-F.203.01"	"1actions.zil"	"203"	"WATER-F"	"TELL"	"The water slips through your fingers."
"message.1actions.WATER-F.209.01"	"1actions.zil"	"209"	"WATER-F"	"TELL"	"It's in the bottle. Perhaps you should take that instead."
"message.1actions.WATER-F.211.01"	"1actions.zil"	"211"	"WATER-F"	"TELL"	"The water slips through your fingers."
"message.1actions.WATER-F.217.01"	"1actions.zil"	"217"	"WATER-F"	"TELL"	"Nice try."
"message.1actions.WATER-F.223.01"	"1actions.zil"	"223"	"WATER-F"	"TELL"	"The bottle is closed."
"message.1actions.WATER-F.227.01"	"1actions.zil"	"227"	"WATER-F"	"TELL"	"There is now a puddle in the bottom of the "
"message.1actions.WATER-F.228.01"	"1actions.zil"	"228"	"WATER-F"	"TELL"	"."
"message.1actions.WATER-F.232.01"	"1actions.zil"	"232"	"WATER-F"	"TELL"	"The water spills to the floor and evaporates immediately."
"message.1actions.WATER-F.236.01"	"1actions.zil"	"236"	"WATER-F"	"TELL"	"The water splashes on the walls and evaporates immediately."
"message.1actions.KITCHEN-WINDOW-F.245.01"	"1actions.zil"	"245"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"	"With great effort, you open the window far enough to allow entry."
"message.1actions.KITCHEN-WINDOW-F.246.01"	"1actions.zil"	"246"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"	"The window closes (more easily than it opened)."
"message.1actions.KITCHEN-WINDOW-F.250.01"	"1actions.zil"	"250"	"KITCHEN-WINDOW-F"	"TELL"	"The window is slightly ajar, but not enough to allow entry."
"message.1actions.KITCHEN-WINDOW-F.258.01"	"1actions.zil"	"258"	"KITCHEN-WINDOW-F"	"TELL"	"You can see "
"message.1actions.KITCHEN-WINDOW-F.260.01"	"1actions.zil"	"260"	"KITCHEN-WINDOW-F"	"TELL"	"a clear area leading towards a forest."
"message.1actions.KITCHEN-WINDOW-F.262.01"	"1actions.zil"	"262"	"KITCHEN-WINDOW-F"	"TELL"	"what appears to be a kitchen."
"message.1actions.GHOSTS-F.266.01"	"1actions.zil"	"266"	"GHOSTS-F"	"TELL"	"The spirits jeer loudly and ignore you."
"message.1actions.GHOSTS-F.269.01"	"1actions.zil"	"269"	"GHOSTS-F"	"TELL"	"Only the ceremony itself has any effect."
"message.1actions.GHOSTS-F.271.01"	"1actions.zil"	"271"	"GHOSTS-F"	"TELL"	"How can you attack a spirit with material objects?"
"message.1actions.GHOSTS-F.273.01"	"1actions.zil"	"273"	"GHOSTS-F"	"TELL"	"You seem unable to interact with these spirits."
"message.1actions.BASKET-F.287.01"	"1actions.zil"	"287"	"BASKET-F"	"TELL"	"The basket is raised to the top of the shaft."
"message.1actions.BASKET-F.296.01"	"1actions.zil"	"296"	"BASKET-F"	"TELL"	"The basket is lowered to the bottom of the shaft."
"message.1actions.BASKET-F.299.01"	"1actions.zil"	"299"	"BASKET-F"	"TELL"	"It is now pitch black."
"message.1actions.BASKET-F.303.01"	"1actions.zil"	"303"	"BASKET-F"	"TELL"	"The basket is at the other end of the chain."
"message.1actions.BASKET-F.306.01"	"1actions.zil"	"306"	"BASKET-F"	"TELL"	"The cage is securely fastened to the iron chain."
"message.1actions.BAT-F.314.01"	"1actions.zil"	"314"	"BAT-F"	"TELL"	"You can't reach him; he's on the ceiling."
"message.1actions.FLY-ME.320.01"	"1actions.zil"	"320"	"FLY-ME"	"TELL"	"The bat grabs you by the scruff of your neck and lifts you away...."
"message.1actions.FWEEP.329.01"	"1actions.zil"	"329"	"FWEEP"	"TELL"	"    Fweep!"
"message.1actions.BELL-F.349.01"	"1actions.zil"	"349"	"BELL-F"	"TELL"	"Ding, dong."
"message.1actions.HOT-BELL-F.353.01"	"1actions.zil"	"353"	"HOT-BELL-F"	"TELL"	"The bell is very hot and cannot be taken."
"message.1actions.HOT-BELL-F.356.01"	"1actions.zil"	"356"	"HOT-BELL-F"	"TELL"	"The "
"message.1actions.HOT-BELL-F.356.02"	"1actions.zil"	"356"	"HOT-BELL-F"	"TELL"	" burns and is consumed."
"message.1actions.HOT-BELL-F.359.01"	"1actions.zil"	"359"	"HOT-BELL-F"	"TELL"	"The bell is too hot to touch."
"message.1actions.HOT-BELL-F.361.01"	"1actions.zil"	"361"	"HOT-BELL-F"	"TELL"	"The heat from the bell is too intense."
"message.1actions.HOT-BELL-F.364.01"	"1actions.zil"	"364"	"HOT-BELL-F"	"TELL"	"The water cools the bell and is evaporated."
"message.1actions.HOT-BELL-F.368.01"	"1actions.zil"	"368"	"HOT-BELL-F"	"TELL"	"The bell is too hot to reach."
"message.1actions.BOARDED-WINDOW-FCN.372.01"	"1actions.zil"	"372"	"BOARDED-WINDOW-FCN"	"TELL"	"The windows are boarded and can't be opened."
"message.1actions.BOARDED-WINDOW-FCN.374.01"	"1actions.zil"	"374"	"BOARDED-WINDOW-FCN"	"TELL"	"You can't break the windows open."
"message.1actions.NAILS-PSEUDO.379.01"	"1actions.zil"	"379"	"NAILS-PSEUDO"	"TELL"	"The nails, deeply imbedded in the door, cannot be removed."
"message.1actions.CRACK-FCN.383.01"	"1actions.zil"	"383"	"CRACK-FCN"	"TELL"	"You can't fit through the crack."
"message.1actions.KITCHEN-FCN.388.01"	"1actions.zil"	"388"	"KITCHEN-FCN"	"TELL"	"You are in the kitchen of the white house. A table seems to\nhave been used recently for the preparation of food. A passage\nleads to the west and a dark staircase can be seen leading\nupward. A dark chimney leads down and to the east is a small\nwindow which is "
"message.1actions.KITCHEN-FCN.394.01"	"1actions.zil"	"394"	"KITCHEN-FCN"	"TELL"	"open."
