"id"	"english"	"translation"	"status"	"notes"	"source_file"	"line"	"routine"	"container"
"message.1actions.WEST-HOUSE.10.01"	"You are standing in an open field west of a white house, with a boarded\nfront door."	"You are standing in an open field west of a white house, with a boarded\nfront door."	"source"	"原文表示"	"1actions.zil"	"10"	"WEST-HOUSE"	"TELL"
"message.1actions.WEST-HOUSE.14.01"	" A secret path leads southwest into the forest."	" A secret path leads southwest into the forest."	"source"	"原文表示"	"1actions.zil"	"14"	"WEST-HOUSE"	"TELL"
"message.1actions.EAST-HOUSE.20.01"	"You are behind the white house. A path leads into the forest\nto the east. In one corner of the house there is a small window\nwhich is "	"You are behind the white house. A path leads into the forest\nto the east. In one corner of the house there is a small window\nwhich is "	"source"	"原文表示"	"1actions.zil"	"20"	"EAST-HOUSE"	"TELL"
"message.1actions.EAST-HOUSE.24.01"	"open."	"open."	"source"	"原文表示"	"1actions.zil"	"24"	"EAST-HOUSE"	"TELL"
"message.1actions.EAST-HOUSE.25.01"	"slightly ajar."	"slightly ajar."	"source"	"原文表示"	"1actions.zil"	"25"	"EAST-HOUSE"	"TELL"
"message.1actions.BOARD-F.46.01"	"The boards are securely fastened."	"The boards are securely fastened."	"source"	"原文表示"	"1actions.zil"	"46"	"BOARD-F"	"TELL"
"message.1actions.TEETH-F.54.01"	"Well, you seem to have been brushing your teeth with some sort of\nglue. As a result, your mouth gets glued together (with your nose)\nand you die of respiratory failure."	"Well, you seem to have been brushing your teeth with some sort of\nglue. As a result, your mouth gets glued together (with your nose)\nand you die of respiratory failure."	"source"	"原文表示"	"1actions.zil"	"54"	"TEETH-F"	"JIGS-UP"
"message.1actions.TEETH-F.59.01"	"Dental hygiene is highly recommended, but I'm not sure what you want\nto brush them with."	"Dental hygiene is highly recommended, but I'm not sure what you want\nto brush them with."	"source"	"原文表示"	"1actions.zil"	"59"	"TEETH-F"	"TELL"
"message.1actions.TEETH-F.62.01"	"A nice idea, but with a "	"A nice idea, but with a "	"source"	"原文表示"	"1actions.zil"	"62"	"TEETH-F"	"TELL"
"message.1actions.TEETH-F.62.02"	"?"	"?"	"source"	"原文表示"	"1actions.zil"	"62"	"TEETH-F"	"TELL"
