"id"	"english"	"japanese"	"status"	"notes"	"source_file"	"line"	"routine"	"container"
"message.1actions.WEST-HOUSE.10.01"	"You are standing in an open field west of a white house, with a boarded\nfront door."	"あなたは白い家の西に広がる空き地に立っている。正面の扉は板でふさがれている。"	"draft"	"開始地点"	"1actions.zil"	"10"	"WEST-HOUSE"	"TELL"
"message.1actions.WEST-HOUSE.14.01"	" A secret path leads southwest into the forest."	"南西には森へ続く秘密の小道がある。"	"draft"	"条件付き追加文"	"1actions.zil"	"14"	"WEST-HOUSE"	"TELL"
"message.1actions.EAST-HOUSE.20.01"	"You are behind the white house. A path leads into the forest\nto the east. In one corner of the house there is a small window\nwhich is "	"あなたは白い家の裏側にいる。東へは森へ続く小道がある。家の一角には小さな窓があり、"	"draft"	"後続断片と連結"	"1actions.zil"	"20"	"EAST-HOUSE"	"TELL"
"message.1actions.EAST-HOUSE.24.01"	"open."	"開いている。"	"draft"	"前文と連結"	"1actions.zil"	"24"	"EAST-HOUSE"	"TELL"
"message.1actions.EAST-HOUSE.25.01"	"slightly ajar."	"わずかに開いている。"	"draft"	"前文と連結"	"1actions.zil"	"25"	"EAST-HOUSE"	"TELL"
"message.1actions.BOARD-F.46.01"	"The boards are securely fastened."	"板はしっかりと打ちつけられている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"46"	"BOARD-F"	"TELL"
"message.1actions.TEETH-F.54.01"	"Well, you seem to have been brushing your teeth with some sort of\nglue. As a result, your mouth gets glued together (with your nose)\nand you die of respiratory failure."	"どうやら、接着剤のようなもので歯を磨いてしまったらしい。そのせいで口が鼻ごとくっつき、呼吸不全で死亡した。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"54"	"TEETH-F"	"JIGS-UP"
"message.1actions.TEETH-F.59.01"	"Dental hygiene is highly recommended, but I'm not sure what you want\nto brush them with."	"歯の衛生に気を配るのは大いに結構だが、一体何を使って磨きたいのだ？"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"59"	"TEETH-F"	"TELL"
"message.1actions.TEETH-F.62.01"	"A nice idea, but with a "	"悪くない考えだが、"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"62"	"TEETH-F"	"TELL"
"message.1actions.TEETH-F.62.02"	"?"	"でだと？"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"62"	"TEETH-F"	"TELL"
"message.1actions.GRANITE-WALL-F.67.01"	"The west wall is solid granite here."	"ここでは西の壁が堅い花崗岩でできている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"67"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.69.01"	"It's solid granite."	"堅い花崗岩だ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"69"	"GRANITE-WALL-F"	"TELL"
