id	source_file	line	verb	english_pattern	handler	synonyms
"command.VERBOSE.01"	"gsyntax.zil"	"40"	"VERBOSE"	"VERBOSE"	"V-VERBOSE"	""
"command.BRIEF.01"	"gsyntax.zil"	"42"	"BRIEF"	"BRIEF"	"V-BRIEF"	""
"command.SUPER.01"	"gsyntax.zil"	"44"	"SUPER"	"SUPER"	"V-SUPER-BRIEF"	"SUPERBRIEF"
"command.DIAGNOSE.01"	"gsyntax.zil"	"47"	"DIAGNOSE"	"DIAGNOSE"	"V-DIAGNOSE"	""
"command.INVENTORY.01"	"gsyntax.zil"	"49"	"INVENTORY"	"INVENTORY"	"V-INVENTORY"	"I"
"command.QUIT.01"	"gsyntax.zil"	"52"	"QUIT"	"QUIT"	"V-QUIT"	"Q"
"command.RESTART.01"	"gsyntax.zil"	"55"	"RESTART"	"RESTART"	"V-RESTART"	""
"command.RESTORE.01"	"gsyntax.zil"	"57"	"RESTORE"	"RESTORE"	"V-RESTORE"	""
"command.SAVE.01"	"gsyntax.zil"	"59"	"SAVE"	"SAVE"	"V-SAVE"	""
"command.SCORE.01"	"gsyntax.zil"	"61"	"SCORE"	"SCORE"	"V-SCORE"	""
"command.SCRIPT.01"	"gsyntax.zil"	"63"	"SCRIPT"	"SCRIPT"	"V-SCRIPT"	""
"command.UNSCRIPT.01"	"gsyntax.zil"	"65"	"UNSCRIPT"	"UNSCRIPT"	"V-UNSCRIPT"	""
"command.VERSION.01"	"gsyntax.zil"	"67"	"VERSION"	"VERSION"	"V-VERSION"	""
"command.$VERIFY.01"	"gsyntax.zil"	"69"	"$VERIFY"	"$VERIFY"	"V-VERIFY"	""
"command.\\#RANDOM.01"	"gsyntax.zil"	"71"	"\\#RANDOM"	"\\#RANDOM OBJECT"	"V-RANDOM"	""
"command.\\#COMMAND.01"	"gsyntax.zil"	"73"	"\\#COMMAND"	"\\#COMMAND"	"V-COMMAND-FILE"	""
"command.\\#RECORD.01"	"gsyntax.zil"	"75"	"\\#RECORD"	"\\#RECORD"	"V-RECORD"	""
"command.\\#UNRECORD.01"	"gsyntax.zil"	"77"	"\\#UNRECORD"	"\\#UNRECORD"	"V-UNRECORD"	""
"command.ACTIVATE.01"	"gsyntax.zil"	"83"	"ACTIVATE"	"ACTIVATE OBJECT (FIND LIGHTBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-LAMP-ON"	""
"command.ANSWER.01"	"gsyntax.zil"	"86"	"ANSWER"	"ANSWER"	"V-ANSWER"	"REPLY"
"command.ANSWER.02"	"gsyntax.zil"	"87"	"ANSWER"	"ANSWER OBJECT"	"V-REPLY"	"REPLY"
"command.APPLY.01"	"gsyntax.zil"	"90"	"APPLY"	"APPLY OBJECT TO OBJECT"	"V-PUT PRE-PUT"	""
"command.ATTACK.01"	"gsyntax.zil"	"96"	"ATTACK"	"ATTACK OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM) WITH OBJECT (FIND WEAPONBIT) (HELD CARRIED HAVE)"	"V-ATTACK"	"FIGHT HIT HURT INJURE"
"command.BACK.01"	"gsyntax.zil"	"100"	"BACK"	"BACK"	"V-BACK"	""
"command.BLAST.01"	"gsyntax.zil"	"102"	"BLAST"	"BLAST"	"V-BLAST"	""
"command.BLOW.01"	"gsyntax.zil"	"104"	"BLOW"	"BLOW OUT OBJECT"	"V-LAMP-OFF"	""
"command.BLOW.02"	"gsyntax.zil"	"105"	"BLOW"	"BLOW UP OBJECT WITH OBJECT (FIND TOOLBIT) (ON-GROUND IN-ROOM HELD CARRIED)"	"V-INFLATE"	""
"command.BLOW.03"	"gsyntax.zil"	"107"	"BLOW"	"BLOW UP OBJECT"	"V-BLAST"	""
"command.BLOW.04"	"gsyntax.zil"	"108"	"BLOW"	"BLOW IN OBJECT"	"V-BREATHE"	""
"command.BOARD.01"	"gsyntax.zil"	"110"	"BOARD"	"BOARD OBJECT (FIND VEHBIT) (ON-GROUND IN-ROOM)"	"V-BOARD PRE-BOARD"	""
"command.BRUSH.01"	"gsyntax.zil"	"112"	"BRUSH"	"BRUSH OBJECT (HELD CARRIED ON-GROUND IN-ROOM)"	"V-BRUSH"	"CLEAN"
"command.BRUSH.02"	"gsyntax.zil"	"113"	"BRUSH"	"BRUSH OBJECT (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT"	"V-BRUSH"	"CLEAN"
"command.BUG.01"	"gsyntax.zil"	"117"	"BUG"	"BUG"	"V-BUG"	""
"command.BURN.01"	"gsyntax.zil"	"119"	"BURN"	"BURN OBJECT (FIND BURNBIT) (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT (FIND FLAMEBIT) (HELD CARRIED ON-GROUND IN-ROOM HAVE)"	"V-BURN PRE-BURN"	"IGNITE INCINERATE"
