"id"	"english"	"translation"	"status"	"notes"	"source_file"	"line"	"room"	"property"
"room.WEST-OF-HOUSE.DESC"	"West of House"	"West of House"	"source"	"原文表示"	"1dungeon.zil"	"1241"	"WEST-OF-HOUSE"	"DESC"
"room.WEST-OF-HOUSE.EAST"	"The door is boarded and you can't remove the boards."	"The door is boarded and you can't remove the boards."	"source"	"原文表示"	"1dungeon.zil"	"1247"	"WEST-OF-HOUSE"	"EAST"
"room.STONE-BARROW.LDESC"	"You are standing in front of a massive barrow of stone. In the east face\nis a huge stone door which is open. You cannot see into the dark of the tomb."	"You are standing in front of a massive barrow of stone. In the east face\nis a huge stone door which is open. You cannot see into the dark of the tomb."	"source"	"原文表示"	"1dungeon.zil"	"1257"	"STONE-BARROW"	"LDESC"
"room.STONE-BARROW.DESC"	"Stone Barrow"	"Stone Barrow"	"source"	"原文表示"	"1dungeon.zil"	"1259"	"STONE-BARROW"	"DESC"
"room.NORTH-OF-HOUSE.LDESC"	"You are facing the north side of a white house. There is no door here,\nand all the windows are boarded up. To the north a narrow path winds through\nthe trees."	"You are facing the north side of a white house. There is no door here,\nand all the windows are boarded up. To the north a narrow path winds through\nthe trees."	"source"	"原文表示"	"1dungeon.zil"	"1267"	"NORTH-OF-HOUSE"	"LDESC"
"room.NORTH-OF-HOUSE.DESC"	"North of House"	"North of House"	"source"	"原文表示"	"1dungeon.zil"	"1270"	"NORTH-OF-HOUSE"	"DESC"
"room.NORTH-OF-HOUSE.SOUTH"	"The windows are all boarded."	"The windows are all boarded."	"source"	"原文表示"	"1dungeon.zil"	"1276"	"NORTH-OF-HOUSE"	"SOUTH"
"room.SOUTH-OF-HOUSE.LDESC"	"You are facing the south side of a white house. There is no door here,\nand all the windows are boarded."	"You are facing the south side of a white house. There is no door here,\nand all the windows are boarded."	"source"	"原文表示"	"1dungeon.zil"	"1283"	"SOUTH-OF-HOUSE"	"LDESC"
"room.SOUTH-OF-HOUSE.DESC"	"South of House"	"South of House"	"source"	"原文表示"	"1dungeon.zil"	"1285"	"SOUTH-OF-HOUSE"	"DESC"
"room.SOUTH-OF-HOUSE.NORTH"	"The windows are all boarded."	"The windows are all boarded."	"source"	"原文表示"	"1dungeon.zil"	"1291"	"SOUTH-OF-HOUSE"	"NORTH"
"room.EAST-OF-HOUSE.DESC"	"Behind House"	"Behind House"	"source"	"原文表示"	"1dungeon.zil"	"1297"	"EAST-OF-HOUSE"	"DESC"
