id	source_file	line	room	property	english
"room.WEST-OF-HOUSE.DESC"	"1dungeon.zil"	"1241"	"WEST-OF-HOUSE"	"DESC"	"West of House"
"room.WEST-OF-HOUSE.EAST"	"1dungeon.zil"	"1247"	"WEST-OF-HOUSE"	"EAST"	"The door is boarded and you can't remove the boards."
"room.STONE-BARROW.LDESC"	"1dungeon.zil"	"1257"	"STONE-BARROW"	"LDESC"	"You are standing in front of a massive barrow of stone. In the east face\nis a huge stone door which is open. You cannot see into the dark of the tomb."
"room.STONE-BARROW.DESC"	"1dungeon.zil"	"1259"	"STONE-BARROW"	"DESC"	"Stone Barrow"
"room.NORTH-OF-HOUSE.LDESC"	"1dungeon.zil"	"1267"	"NORTH-OF-HOUSE"	"LDESC"	"You are facing the north side of a white house. There is no door here,\nand all the windows are boarded up. To the north a narrow path winds through\nthe trees."
"room.NORTH-OF-HOUSE.DESC"	"1dungeon.zil"	"1270"	"NORTH-OF-HOUSE"	"DESC"	"North of House"
"room.NORTH-OF-HOUSE.SOUTH"	"1dungeon.zil"	"1276"	"NORTH-OF-HOUSE"	"SOUTH"	"The windows are all boarded."
"room.SOUTH-OF-HOUSE.LDESC"	"1dungeon.zil"	"1283"	"SOUTH-OF-HOUSE"	"LDESC"	"You are facing the south side of a white house. There is no door here,\nand all the windows are boarded."
"room.SOUTH-OF-HOUSE.DESC"	"1dungeon.zil"	"1285"	"SOUTH-OF-HOUSE"	"DESC"	"South of House"
"room.SOUTH-OF-HOUSE.NORTH"	"1dungeon.zil"	"1291"	"SOUTH-OF-HOUSE"	"NORTH"	"The windows are all boarded."
"room.EAST-OF-HOUSE.DESC"	"1dungeon.zil"	"1297"	"EAST-OF-HOUSE"	"DESC"	"Behind House"
"room.FOREST-1.LDESC"	"1dungeon.zil"	"1312"	"FOREST-1"	"LDESC"	"This is a forest, with trees in all directions. To the east,\nthere appears to be sunlight."
"room.FOREST-1.DESC"	"1dungeon.zil"	"1314"	"FOREST-1"	"DESC"	"Forest"
"room.FOREST-1.UP"	"1dungeon.zil"	"1315"	"FOREST-1"	"UP"	"There is no tree here suitable for climbing."
"room.FOREST-1.WEST"	"1dungeon.zil"	"1319"	"FOREST-1"	"WEST"	"You would need a machete to go further west."
"room.FOREST-2.LDESC"	"1dungeon.zil"	"1326"	"FOREST-2"	"LDESC"	"This is a dimly lit forest, with large trees all around."
"room.FOREST-2.DESC"	"1dungeon.zil"	"1327"	"FOREST-2"	"DESC"	"Forest"
"room.FOREST-2.UP"	"1dungeon.zil"	"1328"	"FOREST-2"	"UP"	"There is no tree here suitable for climbing."
"room.FOREST-2.NORTH"	"1dungeon.zil"	"1329"	"FOREST-2"	"NORTH"	"The forest becomes impenetrable to the north."
"room.MOUNTAINS.LDESC"	"1dungeon.zil"	"1339"	"MOUNTAINS"	"LDESC"	"The forest thins out, revealing impassable mountains."
"room.MOUNTAINS.DESC"	"1dungeon.zil"	"1340"	"MOUNTAINS"	"DESC"	"Forest"
"room.MOUNTAINS.UP"	"1dungeon.zil"	"1341"	"MOUNTAINS"	"UP"	"The mountains are impassable."
"room.MOUNTAINS.EAST"	"1dungeon.zil"	"1343"	"MOUNTAINS"	"EAST"	"The mountains are impassable."
"room.FOREST-3.LDESC"	"1dungeon.zil"	"1351"	"FOREST-3"	"LDESC"	"This is a dimly lit forest, with large trees all around."
"room.FOREST-3.DESC"	"1dungeon.zil"	"1352"	"FOREST-3"	"DESC"	"Forest"
