key	value	notes
port.version	Windows日本語版　バージョン {0}\n	Windows移植版の0.1.ビルド番号
status.line	\n［{0}　得点 {1}　手数 {2}］\n	場所・得点・手数
catalog.report	表示訳: {0}件\n入力語: {1}件\n同一原文に複数訳がある項目: {2}件	開発用カタログ集計
smoke.commands	見る\n見る 家\n降りる\nあける メールボックス\n開ける 郵便受け\nチラシを取る\n見る チラシ\nチラシを見る\nチラシを読む\n北\n東\n台所の窓を開ける\n入る 窓\n見る\n上\n下りる\n登る\n下る\n上る\n降る\n昇る\n降りる\n上がる\n下\n降りる\n開ける 袋\n取る にんにく\n西\n見る\n使う 剣\n見る\nどける ラグ\n開ける 蓋\n閉じる 落とし戸\n開ける 棚\n置く チラシ 棚\n取る チラシ\n棚の中に チラシを 置く\n取る チラシ\n取る ランプ\n真鍮製ランタンを点ける\n持ち物\n取る 剣\n使う 剣 自分\n終了\nはい	自動進行の入力（移動動詞、物体の短縮名、方角の表記揺れ、二目的語、PUTの置き場所と日本語語順の回帰テストを含む）
smoke.expected	Windows日本語版　バージョン 0.1.23\n家の西側\nソースコード Copyright (c) 2025 Microsoft（MIT License）\n日本語版 Copyright (c) 2026 marinyan\nメールボックス\n中身：チラシ\nチラシ\n台所\n中身：ニンニク一片、昼食\n煙突を下りるのはサンタクロースくらいだ。\n居間\n剣を何に使う？\n扉はきしみながら開き、暗闇へ下る壊れかけの階段が現れた。\n扉は勢いよく閉じた。\n真鍮製ランタン\nニンニク一片\nそこまで言うなら……ポン！　あなたは死んだ！	自動進行で確認する表示
smoke.unexpected	中身：チラシ。\n中身：ニンニク一片、昼食。\n中身：ニンニク一片、そして昼食	容器の中身列挙の後ろに句点や不要な接続語が付かないことを確認
character.33	！	一文字出力の感嘆符
character.44	、	一文字出力のコンマ
character.46	。	一文字出力のピリオド
character.63	？	一文字出力の疑問符
