"id"	"english"	"japanese"	"status"	"notes"	"source_file"	"line"	"room"	"property"
"room.WEST-OF-HOUSE.DESC"	"West of House"	"家の西側"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1241"	"WEST-OF-HOUSE"	"DESC"
"room.WEST-OF-HOUSE.EAST"	"The door is boarded and you can't remove the boards."	"扉は板でふさがれており、板を外すこともできない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1247"	"WEST-OF-HOUSE"	"EAST"
"room.STONE-BARROW.LDESC"	"You are standing in front of a massive barrow of stone. In the east face\nis a huge stone door which is open. You cannot see into the dark of the tomb."	"巨大な石塚の前に立っている。東面には巨大な石の扉があり、開いている。墓室の奥は暗くて見通せない。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1257"	"STONE-BARROW"	"LDESC"
"room.STONE-BARROW.DESC"	"Stone Barrow"	"石塚"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1259"	"STONE-BARROW"	"DESC"
"room.NORTH-OF-HOUSE.LDESC"	"You are facing the north side of a white house. There is no door here,\nand all the windows are boarded up. To the north a narrow path winds through\nthe trees."	"白い家の北側にいる。ここには扉がなく、窓はすべて板でふさがれている。北へは木々の間を縫う細い道が続いている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1267"	"NORTH-OF-HOUSE"	"LDESC"
"room.NORTH-OF-HOUSE.DESC"	"North of House"	"家の北側"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1270"	"NORTH-OF-HOUSE"	"DESC"
"room.NORTH-OF-HOUSE.SOUTH"	"The windows are all boarded."	"窓はすべて板でふさがれている。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1276"	"NORTH-OF-HOUSE"	"SOUTH"
"room.SOUTH-OF-HOUSE.LDESC"	"You are facing the south side of a white house. There is no door here,\nand all the windows are boarded."	"白い家の南側にいる。ここには扉がなく、窓はすべて板でふさがれている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1283"	"SOUTH-OF-HOUSE"	"LDESC"
"room.SOUTH-OF-HOUSE.DESC"	"South of House"	"家の南側"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1285"	"SOUTH-OF-HOUSE"	"DESC"
"room.SOUTH-OF-HOUSE.NORTH"	"The windows are all boarded."	"窓はすべて板でふさがれている。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1291"	"SOUTH-OF-HOUSE"	"NORTH"
"room.EAST-OF-HOUSE.DESC"	"Behind House"	"家の裏側"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1297"	"EAST-OF-HOUSE"	"DESC"
"room.FOREST-1.LDESC"	"This is a forest, with trees in all directions. To the east,\nthere appears to be sunlight."	"ここは森の中だ。どちらを向いても木々が立ち並んでいる。東からは陽光が差しているようだ。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1312"	"FOREST-1"	"LDESC"
"room.FOREST-1.DESC"	"Forest"	"森"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1314"	"FOREST-1"	"DESC"
"room.FOREST-1.UP"	"There is no tree here suitable for climbing."	"ここには登るのに適した木がない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1315"	"FOREST-1"	"UP"
"room.FOREST-1.WEST"	"You would need a machete to go further west."	"さらに西へ進むには山刀が必要だ。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1319"	"FOREST-1"	"WEST"
"room.FOREST-2.LDESC"	"This is a dimly lit forest, with large trees all around."	"ここは薄暗い森で、周囲を大きな木々に囲まれている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1326"	"FOREST-2"	"LDESC"
"room.FOREST-2.DESC"	"Forest"	"森"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1327"	"FOREST-2"	"DESC"
"room.FOREST-2.UP"	"There is no tree here suitable for climbing."	"ここには登るのに適した木がない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1328"	"FOREST-2"	"UP"
"room.FOREST-2.NORTH"	"The forest becomes impenetrable to the north."	"北側の森は通り抜けられないほど深い。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1329"	"FOREST-2"	"NORTH"
"room.MOUNTAINS.LDESC"	"The forest thins out, revealing impassable mountains."	"木々がまばらになり、その先に越えられない山々が姿を現している。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1339"	"MOUNTAINS"	"LDESC"
"room.MOUNTAINS.DESC"	"Forest"	"森"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1340"	"MOUNTAINS"	"DESC"
"room.MOUNTAINS.UP"	"The mountains are impassable."	"山々は越えられない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1341"	"MOUNTAINS"	"UP"
"room.MOUNTAINS.EAST"	"The mountains are impassable."	"山々は越えられない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1343"	"MOUNTAINS"	"EAST"
"room.FOREST-3.LDESC"	"This is a dimly lit forest, with large trees all around."	"ここは薄暗い森で、周囲を大きな木々に囲まれている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1351"	"FOREST-3"	"LDESC"
"room.FOREST-3.DESC"	"Forest"	"森"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1352"	"FOREST-3"	"DESC"
"room.FOREST-3.UP"	"There is no tree here suitable for climbing."	"ここには登るのに適した木がない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1353"	"FOREST-3"	"UP"
"room.FOREST-3.EAST"	"The rank undergrowth prevents eastward movement."	"生い茂る下草が東への行く手を阻んでいる。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1355"	"FOREST-3"	"EAST"
"room.FOREST-3.SOUTH"	"Storm-tossed trees block your way."	"嵐になぎ倒された木々が行く手をふさいでいる。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1356"	"FOREST-3"	"SOUTH"
