"verb"	"input"	"aliases"	"disposition"	"notes"
"\\#COMMAND"	"#command"	""	"omit"	"原作入力"
"\\#RANDOM"	"#random"	""	"omit"	"原作入力"
"\\#RECORD"	"#record"	""	"omit"	"原作入力"
"\\#UNRECORD"	"#unrecord"	""	"omit"	"原作入力"
"$VERIFY"	"$verify"	""	"omit"	"原作入力"
"ACTIVATE"	"activate"	""	"keep"	"原作入力"
"ANSWER"	"answer"	""	"keep"	"原作入力"
"APPLY"	"apply"	""	"keep"	"原作入力"
"ATTACK"	"attack"	""	"keep"	"原作入力"
"BACK"	"back"	""	"keep"	"原作入力"
"BLAST"	"blast"	""	"keep"	"原作入力"
"BLOW"	"blow"	""	"keep"	"原作入力"
"BOARD"	"board"	""	"keep"	"原作入力"
"BRIEF"	"brief"	""	"consider"	"原作入力"
"BRUSH"	"brush"	""	"keep"	"原作入力"
"BUG"	"bug"	""	"omit"	"原作入力"
"BURN"	"burn"	""	"keep"	"原作入力"
"CHOMP"	"chomp"	""	"consider"	"原作入力"
"CLIMB"	"climb"	""	"keep"	"原作入力"
"CLOSE"	"close"	""	"keep"	"原作入力"
"COMMAND"	"command"	""	"keep"	"原作入力"
"COUNT"	"count"	""	"keep"	"原作入力"
"CROSS"	"cross"	""	"keep"	"原作入力"
"CURSE"	"curse"	""	"consider"	"原作入力"
"CUT"	"cut"	""	"keep"	"原作入力"
"DEFLATE"	"deflate"	""	"keep"	"原作入力"
"DESTROY"	"destroy"	""	"keep"	"原作入力"
"DIAGNOSE"	"diagnose"	""	"consider"	"原作入力"
"DIG"	"dig"	""	"keep"	"原作入力"
"DISEMBARK"	"disembark"	""	"keep"	"原作入力"
"DISENCHANT"	"disenchant"	""	"consider"	"原作入力"
"DRINK"	"drink"	""	"keep"	"原作入力"
"DROP"	"drop"	""	"keep"	"原作入力"
"EAT"	"eat"	""	"keep"	"原作入力"
"ECHO"	"echo"	""	"consider"	"原作入力"
"ENCHANT"	"enchant"	""	"consider"	"原作入力"
"ENTER"	"enter"	""	"keep"	"原作入力"
"EXAMINE"	"examine"	""	"keep"	"原作入力"
"EXIT"	"exit"	""	"keep"	"原作入力"
"EXORCISE"	"exorcise"	""	"keep"	"原作入力"
"EXTINGUISH"	"extinguish"	""	"keep"	"原作入力"
"FILL"	"fill"	""	"keep"	"原作入力"
"FIND"	"find"	""	"keep"	"原作入力"
"FOLLOW"	"follow"	""	"keep"	"原作入力"
"FROBOZZ"	"frobozz"	""	"keep"	"原作入力"
"GIVE"	"give"	""	"keep"	"原作入力"
"HATCH"	"hatch"	""	"consider"	"原作入力"
"HELLO"	"hello"	""	"keep"	"原作入力"
"INCANT"	"incant"	""	"consider"	"原作入力"
"INFLAT"	"inflat"	""	"keep"	"原作入力"
"INVENTORY"	"inventory"	""	"keep"	"原作入力"
"JUMP"	"jump"	""	"keep"	"原作入力"
"KICK"	"kick"	""	"keep"	"原作入力"
"KILL"	"kill"	""	"keep"	"原作入力"
"KISS"	"kiss"	""	"consider"	"原作入力"
"KNOCK"	"knock"	""	"keep"	"原作入力"
"LAUNCH"	"launch"	""	"keep"	"原作入力"
"LEAN"	"lean"	""	"keep"	"原作入力"
"LEAVE"	"leave"	""	"keep"	"原作入力"
"LIGHT"	"light"	""	"keep"	"原作入力"
"LISTEN"	"listen"	""	"keep"	"原作入力"
"LOCK"	"lock"	""	"keep"	"原作入力"
"LOOK"	"look"	""	"keep"	"原作入力"
"LOWER"	"lower"	""	"keep"	"原作入力"
"LUBRICATE"	"lubricate"	""	"keep"	"原作入力"
"MAKE"	"make"	""	"consider"	"原作入力"
"MELT"	"melt"	""	"keep"	"原作入力"
"MOVE"	"move"	""	"keep"	"原作入力"
"MUMBLE"	"mumble"	""	"consider"	"原作入力"
"ODYSSEUS"	"odysseus"	""	"keep"	"原作入力"
"OPEN"	"open"	""	"keep"	"原作入力"
"PICK"	"pick"	""	"keep"	"原作入力"
"PLAY"	"play"	""	"keep"	"原作入力"
"PLUG"	"plug"	""	"keep"	"原作入力"
"PLUGH"	"plugh"	""	"keep"	"原作入力"
"POKE"	"poke"	""	"keep"	"原作入力"
"POUR"	"pour"	""	"keep"	"原作入力"
"PRAY"	"pray"	""	"keep"	"原作入力"
"PULL"	"pull"	""	"keep"	"原作入力"
"PUMP"	"pump"	""	"keep"	"原作入力"
"PUNCTURE"	"puncture"	""	"keep"	"原作入力"
"PUSH"	"push"	""	"keep"	"原作入力"
"PUT"	"put"	""	"keep"	"原作入力"
"QUIT"	"quit"	""	"keep"	"原作入力"
"RAISE"	"raise"	""	"keep"	"原作入力"
"RAPE"	"rape"	""	"omit"	"原作入力"
"READ"	"read"	""	"keep"	"原作入力"
"REPENT"	"repent"	""	"consider"	"原作入力"
"RESTART"	"restart"	""	"keep"	"原作入力"
"RESTORE"	"restore"	""	"defer"	"原作入力"
"RING"	"ring"	""	"keep"	"原作入力"
"ROLL"	"roll"	""	"keep"	"原作入力"
"RUB"	"rub"	""	"keep"	"原作入力"
"SAVE"	"save"	""	"defer"	"原作入力"
"SAY"	"say"	""	"keep"	"原作入力"
"SCORE"	"score"	""	"keep"	"原作入力"
"SCRIPT"	"script"	""	"omit"	"原作入力"
"SEARCH"	"search"	""	"keep"	"原作入力"
"SEND"	"send"	""	"consider"	"原作入力"
"SHAKE"	"shake"	""	"keep"	"原作入力"
"SKIP"	"skip"	""	"consider"	"原作入力"
"SLIDE"	"slide"	""	"keep"	"原作入力"
"SMELL"	"smell"	""	"keep"	"原作入力"
"SPIN"	"spin"	""	"keep"	"原作入力"
"SPRAY"	"spray"	""	"keep"	"原作入力"
"SQUEEZE"	"squeeze"	""	"keep"	"原作入力"
"STAB"	"stab"	""	"keep"	"原作入力"
"STAND"	"stand"	""	"keep"	"原作入力"
"STAY"	"stay"	""	"consider"	"原作入力"
"STRIKE"	"strike"	""	"keep"	"原作入力"
"SUPER"	"super"	""	"consider"	"原作入力"
"SWIM"	"swim"	""	"keep"	"原作入力"
"SWING"	"swing"	""	"keep"	"原作入力"
"TAKE"	"take"	""	"keep"	"原作入力"
"TALK"	"talk"	""	"keep"	"原作入力"
"TELL"	"tell"	""	"keep"	"原作入力"
"THROW"	"throw"	""	"keep"	"原作入力"
"TIE"	"tie"	""	"keep"	"原作入力"
"TREASURE"	"treasure"	""	"keep"	"原作入力"
"TURN"	"turn"	""	"keep"	"原作入力"
"UNLOCK"	"unlock"	""	"keep"	"原作入力"
"UNSCRIPT"	"unscript"	""	"omit"	"原作入力"
"UNTIE"	"untie"	""	"keep"	"原作入力"
"VERBOSE"	"verbose"	""	"consider"	"原作入力"
"VERSION"	"version"	""	"consider"	"原作入力"
"WAIT"	"wait"	""	"keep"	"原作入力"
"WAKE"	"wake"	""	"keep"	"原作入力"
"WALK"	"walk"	""	"keep"	"原作入力"
"WAVE"	"wave"	""	"keep"	"原作入力"
"WEAR"	"wear"	""	"keep"	"原作入力"
"WIN"	"win"	""	"consider"	"原作入力"
"WIND"	"wind"	""	"keep"	"原作入力"
"WISH"	"wish"	""	"consider"	"原作入力"
"YELL"	"yell"	""	"keep"	"原作入力"
"ZORK"	"zork"	""	"keep"	"原作入力"
