verb	japanese	aliases	disposition	notes
\\#COMMAND	コマンドファイル		omit	開発用機能
\\#RANDOM	乱数設定		omit	開発用機能
\\#RECORD	入力記録開始		omit	外部記録機能
\\#UNRECORD	入力記録停止		omit	外部記録機能
$VERIFY	データ検査		omit	初期版では省略
ACTIVATE	作動させる	起動する 点ける	keep	""
ANSWER	答える	返事する	keep	""
APPLY	使う	適用する	keep	""
ATTACK	攻撃する	攻撃 戦う 殴る 傷つける	keep	「攻撃」だけでも動詞として扱う
BACK	戻る	引き返す	keep	""
BLAST	爆破する	吹き飛ばす	keep	""
BLOW	吹く	息を吹く	keep	""
BOARD	乗る	乗り込む	keep	""
BRIEF	簡潔表示	短く	consider	表示モード
BRUSH	磨く	掃除する こする	keep	""
BUG	バグ	不具合	omit	開発用の遊びコマンド
BURN	燃やす	火をつける 焼く	keep	""
CHOMP	かじる	むしゃむしゃする	consider	遊びコマンド
CLIMB	登る	よじ登る 上がる	keep	""
CLOSE	閉じる	閉める	keep	""
COMMAND	命令する	指示する	keep	""
COUNT	数える	勘定する	keep	""
CROSS	渡る	横切る	keep	""
CURSE	悪態をつく	罵る ののしる	consider	""
CUT	切る	切断する 刺す	keep	""
DEFLATE	空気を抜く	しぼませる	keep	""
DESTROY	壊す	破壊する 砕く	keep	""
DIAGNOSE	診断する	状態を見る	consider	""
DIG	掘る	穴を掘る	keep	""
DISEMBARK	降りる	下船する	keep	""
DISENCHANT	魔法を解く	解呪する	consider	""
DRINK	飲む	口にする	keep	""
DROP	捨てる	落とす 手放す 置く	keep	「置く」は置き場所がなければDROP、置き場所が続けばPUT
EAT	食べる	味わう かじる	keep	""
ECHO	叫ぶ	こだまと叫ぶ エコー	consider	""
ENCHANT	魔法をかける	付呪する	consider	""
ENTER	入る	中へ入る	keep	""
EXAMINE	調べる	見る 観察する	keep	""
EXIT	出る	外へ出る	keep	""
EXORCISE	祓う	退散させる 除霊する	keep	""
EXTINGUISH	消す	火を消す	keep	""
FILL	満たす	いっぱいにする	keep	""
FIND	探す	見つける どこ	keep	""
FOLLOW	追う	ついていく 追跡する	keep	""
FROBOZZ	フロボズ		keep	作中語
GIVE	渡す	与える 手渡す	keep	""
HATCH	孵す	孵化させる	consider	""
HELLO	挨拶する	こんにちは やあ	keep	""
INCANT	唱える	詠唱する	consider	""
INFLAT	膨らませる	空気を入れる	keep	原文は辞書長に合わせたINFLAT
INVENTORY	持ち物を見る	持ち物 所持品	keep	""
JUMP	跳ぶ	飛び込む 飛び越える	keep	""
KICK	蹴る	けとばす	keep	""
KILL	殺す	倒す 仕留める	keep	""
KISS	キスする	口づけする	consider	""
KNOCK	叩く	ノックする	keep	""
LAUNCH	進水させる	出発させる	keep	""
LEAN	寄りかかる	もたれる	keep	""
LEAVE	去る	離れる 出る	keep	""
LIGHT	点ける	灯す 明るくする	keep	""
LISTEN	聞く	耳を澄ます	keep	""
LOCK	鍵をかける	施錠する	keep	""
LOOK	見る	見回す 見る 調べる	keep	""
LOWER	下げる	降ろす	keep	""
LUBRICATE	油を差す	潤滑する	keep	""
MAKE	作る	組み立てる	consider	""
MELT	溶かす	融かす	keep	""
MOVE	動かす	移す ずらす どける	keep	""
MUMBLE	つぶやく	ため息をつく	consider	""
ODYSSEUS	オデュッセウス	ユリシーズ	keep	固有名詞・謎解き用
OPEN	開ける	開く	keep	""
